GPCODE,GPNAME,BLOCK,DISTRICT,ELEVATION,SLOPE,LANDCOVER,LANDCOVER_VALID,HAS_STATIC_MISMATCH,MISMATCHED_FIELDS_NEEDS_MANUAL_REVIEW,MISSING_STATIC_FIELDS
111774,RANGUNI,Baghmara,Dhanbad,254,4.220321,12,True,False,,
111775,SINGRAH,Baghmara,Dhanbad,187,1.0131122,12,True,False,,
111776,SINIDIH,Baghmara,Dhanbad,197,2.1128616,10,True,False,,
111777,TARGA,Baghmara,Dhanbad,236,0.0,12,True,False,,
111778,TELMOCHO,Baghmara,Dhanbad,198,1.373279,12,True,False,,
111779,TETULIA-1,Baghmara,Dhanbad,194,2.1128864,10,True,False,,
111780,TETULIA-2,Baghmara,Dhanbad,188,1.3732536,12,True,False,,
111781,TUNDU,Baghmara,Dhanbad,203,1.8543341,13,True,False,,
111782,ALAKHDIHA,Baliapur,Dhanbad,203,1.37333,12,True,False,,
111783,AMJHAR,Baliapur,Dhanbad,203,2.7451186,12,True,False,,
111784,AMTAL,Baliapur,Dhanbad,233,0.0,10,True,False,,
111785,BAGHMARA,Baliapur,Dhanbad,162,0.92740995,12,True,False,,
111786,BALIAPUR EAST,Baliapur,Dhanbad,171,1.0129654,12,True,False,,
111788,BARADAHA,Baliapur,Dhanbad,190,0.92740995,12,True,False,,
111789,BHIKHRAJPUR,Baliapur,Dhanbad,190,2.9585423,12,True,False,,
111790,BIRSINGHPUR,Baliapur,Dhanbad,147,4.219171,12,True,False,,
111791,CHANDKUIYA,Baliapur,Dhanbad,216,3.8400848,10,True,False,,
111792,DOLAWAR,Baliapur,Dhanbad,156,2.2273371,12,True,False,,
111793,DUDHIYA,Baliapur,Dhanbad,145,3.8399966,12,True,False,,
111794,GHARBAR,Baliapur,Dhanbad,130,7.480796,12,True,False,,
111795,JAGDISH,Baliapur,Dhanbad,194,2.0260792,12,True,False,,
111796,KARMATAND,Baliapur,Dhanbad,207,0.92740995,12,True,False,,
111797,KUSMATAND,Baliapur,Dhanbad,199,2.7802885,12,True,False,,
111798,MUKUNDA,Baliapur,Dhanbad,211,4.0458393,12,True,False,,
111799,PALANI,Baliapur,Dhanbad,211,3.175212,12,True,False,,
111800,PRADHANKHANTA,Baliapur,Dhanbad,204,5.0479813,12,True,False,,
111801,SINDURPUR,Baliapur,Dhanbad,174,4.046364,12,True,False,,
111802,SURUNGA,Baliapur,Dhanbad,184,3.437662,12,True,False,,
111803,ARALGARIA,Dhanbad,Dhanbad,196,1.373443,13,True,False,,
111804,BARDUBHI,Dhanbad,Dhanbad,177,0.0,12,True,False,,
111805,DAMODARPUR,Dhanbad,Dhanbad,222,2.9587512,12,True,False,,
111806,DHOKHRA,Dhanbad,Dhanbad,217,3.8401427,12,True,False,,
111807,DUBRAJDIH,Dhanbad,Dhanbad,185,3.1743898,12,True,False,,
111808,GOPINATHDIH,Dhanbad,Dhanbad,197,1.373408,13,True,False,,
111809,PANDARKANALI,Dhanbad,Dhanbad,198,1.0133369,13,True,False,,
111810,PANDERKANALI SOUTH,Dhanbad,Dhanbad,193,3.840107,12,True,False,,
111811,SAMSHIKHARA,Dhanbad,Dhanbad,193,5.7606425,12,True,False,,
111812,SIYALGUDRI,Dhanbad,Dhanbad,201,2.7802885,13,True,False,,
111813,AMARPUR,Govindpur,Dhanbad,226,3.8402662,12,True,False,,
111814,ASANBANI 1,Govindpur,Dhanbad,230,2.7468846,12,True,False,,
111815,ASANBANI 2,Govindpur,Dhanbad,226,6.33607,12,True,False,,
111816,BAGSUMA,Govindpur,Dhanbad,203,2.7459948,12,True,False,,
111817,BARA NAWATAND,Govindpur,Dhanbad,215,6.136929,12,True,False,,
111818,BARA PICHARI,Govindpur,Dhanbad,268,4.2204123,12,True,False,,
111819,BARIYO,Govindpur,Dhanbad,203,1.0140808,12,True,False,,
111820,BARWA EAST,Govindpur,Dhanbad,160,10.452005,12,True,False,,
111821,BHITIYA,Govindpur,Dhanbad,213,4.153841,12,True,False,,
111822,BIRAJPUR,Govindpur,Dhanbad,258,0.92740995,12,True,False,,
111823,DAMKARA BARWA,Govindpur,Dhanbad,247,2.113115,12,True,False,,
111824,DEWLI,Govindpur,Dhanbad,189,3.4387224,12,True,False,,
111825,GORTOPA,Govindpur,Dhanbad,204,2.1129227,12,True,False,,
111826,GOVINDPUR EAST,Govindpur,Dhanbad,199,2.0271533,12,True,False,,
111828,JAMDIHA,Govindpur,Dhanbad,219,2.229732,12,True,False,,
111829,JANGALPUR,Govindpur,Dhanbad,195,6.5425453,12,True,False,,
111830,JAYNAGAR,Govindpur,Dhanbad,227,2.2293563,12,True,False,,
111831,JIALGORA,Govindpur,Dhanbad,225,4.1532845,12,True,False,,
111832,KALADABUR,Govindpur,Dhanbad,171,4.11524,12,True,False,,
111833,KANCHANPUR,Govindpur,Dhanbad,221,3.7047918,12,True,False,,
111834,KARMATAND,Govindpur,Dhanbad,201,5.4796734,12,True,False,,
111835,KHARANI,Govindpur,Dhanbad,235,2.1132486,12,True,False,,
111836,KUALBERA,Govindpur,Dhanbad,246,0.92740995,12,True,False,,
111837,MAHUBANI 1,Govindpur,Dhanbad,192,10.130518,12,True,False,,
111838,MAHUBANI 2,Govindpur,Dhanbad,214,5.528232,12,True,False,,
111839,MARICHO,Govindpur,Dhanbad,243,1.374396,12,True,False,,
111840,MATIYALA,Govindpur,Dhanbad,188,5.52907,12,True,False,,
111841,MORANGA,Govindpur,Dhanbad,202,1.3736424,12,True,False,,
111842,MURGABANI,Govindpur,Dhanbad,173,4.220226,12,True,False,,
111843,NAGAR KIYARI,Govindpur,Dhanbad,239,4.4525414,12,True,False,,
111844,PANDUKI,Govindpur,Dhanbad,210,3.4391403,12,True,False,,
111845,PARASI,Govindpur,Dhanbad,168,9.2,12,True,False,,
111846,PATHURIA,Govindpur,Dhanbad,202,3.439084,12,True,False,,
111847,RATANPUR,Govindpur,Dhanbad,197,2.7463145,12,True,False,,
111848,SAHRAJ,Govindpur,Dhanbad,200,4.22063,12,True,False,,
111849,TILAIYA,Govindpur,Dhanbad,306,6.139105,12,True,False,,
111850,TILAWANI,Govindpur,Dhanbad,187,1.373988,12,True,False,,
111851,UDAYPUR,Govindpur,Dhanbad,259,4.4515896,12,True,False,,
111915,AGARKUND NORTH,Egarkund,Dhanbad,140,2.7802885,13,True,False,,
111917,ALAKENDRA,Kaliasol,Dhanbad,188,4.219788,12,True,False,,
111919,ANKHDWARA,Kaliasol,Dhanbad,165,3.1741676,12,True,False,,
111920,ASANLIYA,Kaliasol,Dhanbad,163,1.3731439,12,True,False,,
111921,BAIJNA,Nirsa,Dhanbad,153,8.2891,13,True,False,,
111922,BANDA EAST,Kaliasol,Dhanbad,139,2.958518,12,True,False,,
111924,BARA AMBONA,Kaliasol,Dhanbad,184,1.0132396,12,True,False,,
111925,BELKUPA,Nirsa,Dhanbad,170,2.7802885,12,True,False,,
111926,BENAGORIA (CHI),Kaliasol,Dhanbad,136,4.9050393,12,True,False,,
111927,BENAGORIYA (NI),Nirsa,Dhanbad,178,2.113236,12,True,False,,
111928,BHAGABANDH,Nirsa,Dhanbad,148,0.0,10,True,False,,
111929,BHAMAL,Nirsa,Dhanbad,141,2.7802885,13,True,False,,
111930,BHURKUNDABARI,Kaliasol,Dhanbad,138,0.92740995,12,True,False,,
111931,BIRSINGPUR,Nirsa,Dhanbad,144,2.7456152,12,True,False,,
111932,BRIDABANPUR,Egarkund,Dhanbad,139,1.3734765,12,True,False,,
111933,CHANCH,Egarkund,Dhanbad,110,2.9585233,12,True,False,,
111934,DEWIYANA,Nirsa,Dhanbad,148,2.025846,12,True,False,,
111935,DHOBARI,Kaliasol,Dhanbad,144,4.1133585,12,True,False,,
111936,DUMARIA,Kaliasol,Dhanbad,135,1.8543341,12,True,False,,
111937,DUMARKUNDA NORTH,Egarkund,Dhanbad,103,2.9585202,12,True,False,,
111939,GHAGHRA,Nirsa,Dhanbad,187,3.5583882,12,True,False,,
111940,GOPALPUR,Egarkund,Dhanbad,144,2.9586537,12,True,False,,
111941,GOPINATHPUR,Egarkund,Dhanbad,130,3.1748965,12,True,False,,
111942,HARIYAJAM,Nirsa,Dhanbad,146,3.7047918,12,True,False,,
111943,JAMDEHI,Kaliasol,Dhanbad,134,3.1745875,12,True,False,,
111944,JAMKUDAR,Kaliasol,Dhanbad,197,1.373585,12,True,False,,
111945,JOGRAT,Egarkund,Dhanbad,123,0.0,13,True,False,,
111946,KALIASOL,Kaliasol,Dhanbad,176,2.1127353,12,True,False,,
111947,KALIMATI,Egarkund,Dhanbad,156,2.9586935,12,True,False,,
111948,KALIPAHARI EAST,Egarkund,Dhanbad,148,0.0,10,True,False,,
111949,KALIPAHARI NORTH,Egarkund,Dhanbad,131,1.3736025,10,True,False,,
111951,KHUSHARI,Nirsa,Dhanbad,145,4.0482507,12,True,False,,
111952,LEDAHARIA,Kaliasol,Dhanbad,137,5.5272565,12,True,False,,
111953,MADANDIH,Nirsa,Dhanbad,167,8.814079,10,True,False,,
111954,MADANPUR,Nirsa,Dhanbad,157,1.3736281,12,True,False,,
111955,MARMA,Nirsa,Dhanbad,114,18.892963,12,True,False,,
111956,MERHA,Egarkund,Dhanbad,121,0.92740995,13,True,False,,
111957,NIRSA MIDDLE,Nirsa,Dhanbad,133,17.721397,13,True,False,,
111960,PALARPUR,Nirsa,Dhanbad,181,1.3738183,12,True,False,,
111961,PANCHMOHALI,Egarkund,Dhanbad,122,3.036858,13,True,False,,
111962,PANDRA EAST,Nirsa,Dhanbad,152,5.1390095,12,True,False,,
111963,PANDRA WEST,Nirsa,Dhanbad,147,8.415314,13,True,False,,
111965,PATHARKUAN,Kaliasol,Dhanbad,171,1.3733857,12,True,False,,
111966,PATLA BARI,Kaliasol,Dhanbad,131,0.92740995,12,True,False,,
111967,PINDRAHAT,Kaliasol,Dhanbad,177,2.7452426,12,True,False,,
111968,PITHAKIYARI,Nirsa,Dhanbad,137,1.0135491,12,True,False,,
111969,RAMKANALI,Nirsa,Dhanbad,158,2.9587395,12,True,False,,
111970,RANGAMATIYA,Nirsa,Dhanbad,170,1.0139917,12,True,False,,
111971,SALUKACHPARA,Kaliasol,Dhanbad,176,2.958572,12,True,False,,
111972,SASHANBARIA,Nirsa,Dhanbad,133,1.0133542,12,True,False,,
111973,SHYAMPUR,Nirsa,Dhanbad,150,5.761224,12,True,False,,
111974,SIJUA,Nirsa,Dhanbad,168,2.2295024,12,True,False,,
111976,SIWALIBARI MIDDLE,Egarkund,Dhanbad,135,2.1127393,13,True,False,,
111979,SONBAD,Nirsa,Dhanbad,160,3.7047918,12,True,False,,
111980,SUSUNLIYA,Kaliasol,Dhanbad,156,4.446863,12,True,False,,
111981,UPCHURIYA,Nirsa,Dhanbad,162,2.2287288,12,True,False,,
111982,URMA,Kaliasol,Dhanbad,148,2.7449248,12,True,False,,
111983,BHUIYA CHITRO,Topchanchi,Dhanbad,269,5.0585866,12,True,False,,
111984,BISHANPUR,Topchanchi,Dhanbad,222,0.92740995,12,True,False,,
111985,BRAHAMANDIHA,Topchanchi,Dhanbad,250,0.92740995,12,True,False,,
111986,CHAITA,Topchanchi,Dhanbad,213,5.5289426,12,True,False,,
111987,CHITARPUR,Topchanchi,Dhanbad,302,1.3743895,12,True,False,,
111988,DHANGI,Topchanchi,Dhanbad,240,1.0140069,12,True,False,,
111989,DUMDUMI,Topchanchi,Dhanbad,280,4.116716,12,True,False,,
111990,GENDANAWADIH,Topchanchi,Dhanbad,238,1.3740442,12,True,False,,
111991,GHUNGHASA,Topchanchi,Dhanbad,245,3.1774204,12,True,False,,
111992,GOMO NORTH,Topchanchi,Dhanbad,233,4.4518332,12,True,False,,
111994,HARIHARPUR,Topchanchi,Dhanbad,245,0.92740995,12,True,False,,
111996,KHARIYO,Topchanchi,Dhanbad,249,3.438977,12,True,False,,
111998,KORKOTA,Topchanchi,Dhanbad,241,1.3742641,12,True,False,,
111999,LEDATAND,Topchanchi,Dhanbad,292,2.229946,12,True,False,,
112000,LOKBAD,Topchanchi,Dhanbad,281,2.1133246,12,True,False,,
112001,MADAIDIH,Topchanchi,Dhanbad,300,2.113354,12,True,False,,
112002,MATARI,Topchanchi,Dhanbad,292,26.433105,12,True,False,,
112003,NERO,Topchanchi,Dhanbad,279,1.3743043,12,True,False,,
112004,PAWAPUR,Topchanchi,Dhanbad,285,2.0284014,12,True,False,,
112005,PRADHANKHANTA,Topchanchi,Dhanbad,234,0.92740995,12,True,False,,
112006,RAMAKUNDA,Topchanchi,Dhanbad,248,0.92740995,12,True,False,,
112007,SINGHDAHA,Topchanchi,Dhanbad,257,2.1131806,12,True,False,,
112008,SIRAMPUR,Topchanchi,Dhanbad,263,2.113188,12,True,False,,
112009,TANTRI,Topchanchi,Dhanbad,313,7.2989845,12,True,False,,
112010,TOPCHANCHI,Topchanchi,Dhanbad,302,4.6273675,12,True,False,,
112011,BARWATAND,Tundi,Dhanbad,248,3.1789412,12,True,False,,
112012,BEGNARIYA,Tundi,Dhanbad,312,7.488362,4,True,False,,
112013,CHURURIYA,Purvi Tundi,Dhanbad,216,2.7477622,12,True,False,,
112014,JATAKHUTI,Tundi,Dhanbad,218,2.7484498,12,True,False,,
112015,JEETPUR,Tundi,Dhanbad,307,5.482732,12,True,False,,
112016,KADAIYA,Tundi,Dhanbad,232,2.0282488,12,True,False,,
112017,KAMARDIH,Tundi,Dhanbad,243,2.7472925,12,True,False,,
112018,KATNIA,Tundi,Dhanbad,258,1.0146538,12,True,False,,
112019,KOLHAR,Tundi,Dhanbad,226,3.7047918,12,True,False,,
112020,LACHURAYDIH,Tundi,Dhanbad,230,1.014427,12,True,False,,
112021,LATANI,Purvi Tundi,Dhanbad,231,7.6466227,12,True,False,,
112022,LUKAIA,Tundi,Dhanbad,216,3.4401083,12,True,False,,
112023,MACHIYARA,Tundi,Dhanbad,273,6.5427394,12,True,False,,
112024,MAIRANAWATAND,Purvi Tundi,Dhanbad,185,3.1793346,12,True,False,,
112025,MANIYADIH,Tundi,Dhanbad,286,1.3747814,12,True,False,,
112026,MOHLIDIH,Purvi Tundi,Dhanbad,171,0.92740995,12,True,False,,
112027,PHATEHPUR,Tundi,Dhanbad,249,1.8543341,12,True,False,,
112028,PURNADIH,Tundi,Dhanbad,232,3.180731,12,True,False,,
112029,RAGHUNATHPUR,Purvi Tundi,Dhanbad,208,3.559693,12,True,False,,
112030,RAJABHITHA,Tundi,Dhanbad,260,4.1559024,12,True,False,,
112031,RAMPUR,Purvi Tundi,Dhanbad,288,7.9684143,12,True,False,,
112032,RATANPUR,Tundi,Dhanbad,201,5.0493565,12,True,False,,
112033,RUPAN,Purvi Tundi,Dhanbad,277,8.2891,12,True,False,,
112034,TUNDI,Tundi,Dhanbad,236,2.113603,12,True,False,,
112035,UKMA,Purvi Tundi,Dhanbad,205,3.8405213,12,True,False,,
245449,CHHOTANAGRI,Baghmara,Dhanbad,223,2.7802885,12,True,False,,
245450,NAVADIH,Dhanbad,Dhanbad,250,4.2203603,12,True,False,,
245451,PETIA,Dhanbad,Dhanbad,177,0.92740995,12,True,False,,
245452,PARASBANIA,Baliapur,Dhanbad,164,4.784118,12,True,False,,
245453,CHHATATAND,Baliapur,Dhanbad,188,4.7846923,12,True,False,,
277569,PANDRABEJRA,Purvi Tundi,Dhanbad,161,7.1249337,12,True,False,,
